MARCA,REFERENCIA,PROCESADOR,RAM,PANTALLA,DISCODURO,DISCOSSOLIDOS,PRECIOS
Dell,"Portátil Dell 3501 15.6"" Intel Core I3 4gb 1tb Hdd",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.699.888 
Asus,"Portátil asus zenbook um425ia 14"" amd ryzen 5",AMD RYZEN R5,8GB,14 pulgadas,No aplica,512GB,$  4.699.900 
Lenovo,Portátil Lenovo Ideapad 14 Pulgadas 3 Amd Athlon 4,AMD,4GB,14.1 pulgadas,256GB,No aplica,$  1.249.000 
Acer,Portatil acer a314-22 ryzen 3 8gb 256gbssd freedos,AMD RYZEN R3,8GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.609.500 
Asus,"Portatil asus x409ma celeron 14"" 4020u 1 tb 4 gb ",Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.099.000 
Lenovo,Portátil Lenovo v14 amd 3020e,AMD,4GB,14 pulgadas,1TB,No aplica,$  1.079.900 
Toshiba,Portátil toshiba tecra a40-g celeron 4gb 128gb,Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  1.067.000 
Dell,Portatil dell vostro 14 3405 amd ryzen 5,AMD RYZEN R5,8GB,14 pulgadas,No aplica,256GB,$  2.219.888 
Asus,Portatil asus x409ma intel celeron 4gb 1tb endless,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.054.500 
Lenovo,Portátil lenovo v145 14ast amd a6 9225 8 gigas 14¿,AMD A6,8GB,14 pulgadas,500GB,No aplica,$  1.460.000 
Apple,MacBook Pro Chip M1 Pro 512GB SSD Gris espacial MK183E/A 16.2 Pulgadas,Chip M1 Pro,16GB,16.2 pulgadas,No aplica,512GB,$  13.528.900
Lenovo,Portátil Lenovo 82c401jhus 14 Pulgadas Intel Core,Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  3.331.900 
HP,Portátil Hp Cf2089la 14 Pulgadas Intel Celeron 4gb,Intel Celeron,4GB,14 pulgadas,No aplica,256GB,$  1.159.900 
Lenovo,Portátil Lenovo IdeaPad 3 Ryzen 3 4Gb 128Gb,AMD RYZEN R3,4GB,15.6 pulgadas,128 GB,No aplica,$  2.699.900 
Toshiba,Portátil Toshiba tecra a40-g 14 pulgadas intel cel,Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  1.289.888 
Dell,"Portátil Dell latitud 3420 intel ci5-1135, 8gb ram",Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  3.799.000 
Lenovo,Portátil Lenovo 14 Pulgadas Amd 4gb 256gb Hdd,AMD,4GB,14 pulgadas,256GB,No aplica,$  1.398.900 
Lenovo,Portátil lenovo  c i3 8gb 1tb  256ssd w10p educ.,Intel Core i3,8GB,14 pulgadas,1TB,256GB,$  2.499.900 
Dell,Portátil Dell 15-3501  intel core i3 4gb 1tb linux,Intel,4GB,15.6 pulgadas,1TB,No aplica,$  1.679.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
Asus,"Portatil asus expertbook b2451fa 14"" core i5 8gb",Intel Core i5,8GB,14 pulgadas,1TB,No aplica,$  3.949.900 
HP,Portátil Hp 15-Gw0017la 15 Pulgadas Amd Ryzen R3 4,AMD RYZEN R3,4GB,15 pulgadas,No aplica,256GB,$  1.699.900 
Dell,"Portatil Dell 3405 Amd Ryzen5 8gb 256ssd, 15,6,W10",AMD RYZEN R5,8GB,15.6 pulgadas,No aplica,256GB,$  2.418.000 
Asus,Portatil asus m415da ryzen 5 4gb 256gb win10home,AMD RYZEN R5,4GB,14 pulgadas,No aplica,256GB,$  2.399.900 
HP,Portátil hp 240 g7 core i3-1005g1 4gb 1tb linux,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.499.900 
Lenovo,Portátil ideapad Lenovo  s145-14api amd r3,AMD,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  2.007.900 
Asus,"Portatil asus m415da ryzen 5 14""  1 tb 4 gb endles",AMD RYZEN R5,4GB,14 pulgadas,1TB,No aplica,$  1.949.000 
LUMI,Portatil coin lumi 142g celeron 500gb 4gb win10,Intel Celeron,4GB,14 pulgadas,500GB,No aplica,$  943.500  
HP,Portatil hp  245 g7 amd 3020e 8gb 1tb linux,AMD,8GB,14 pulgadas,1TB,No aplica,$  1.209.900 
Asus,"Portátil Asus M415d Ryzen 3, 4gb, 256ssd , 14""",AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  1.645.500 
Lenovo,Portátil lenovo ideapad 3 amd athlon 4gb 256gb ,AMD,4GB,14 pulgadas,No aplica,256GB,$  1.198.900 
Asus,Portatil asus x415ma-ek129t,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.275.000 
HP,Portátil hp pavilion x360 14-dy0001la 4gb 128ssd,Intel Pentium,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.799.000 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,14 pulgadas,No aplica,256GB,$  3.299.900 
Lenovo,Portatil lenovo3 amd 3050u ram8gb 256gbssd win10,AMD,8GB,14 pulgadas,No aplica,256GB,$  1.665.000 
HP,Portátil HP Laptop 14-cf3026la 14 pulgadas Intel Core i5 8GB 256GB,Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  2.849.000 
MSI,"Portatil gaming msi thin 10scsr, 8gb, 512ssd",Intel Core i7,16GB,17.3 pulgadas,No aplica,512GB,$  6.105.000 
Asus,Portatil asus x415ma-bv041t,Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.289.000 
HP,Portátil hp 14-ck2101la 14 puLGadas intel celeron,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.219.900 
Acer,Portatil Acer A514-53 I34256,Intel Core i3,4GB,14 pulgadas,256GB,No aplica,$  2.254.931 
Apple,MacBook Pro Chip M1 Pro 1TB SSD Plata MK1F3E/A 16.2 Pulgadas,Chip M1 Pro,16GB,16.2 pulgadas,No aplica,1TB,$  14.577.900
Apple,MacBook Pro Chip M1 Pro 1TB SSD Gris espacial MKGQ3E/A 14.2 Pulgadas,Chip M1 Pro,16GB,14.2 pulgadas,No aplica,1TB,$  13.528.900
HP,Portátil hp 14-dk1018la 14 puLGadas 4gb 1tb hdd,AMD,4GB,14 pulgadas,1TB,No aplica,$  1.059.900 
HP,Portátil hp 14-dk amd athlon silver 4gb 256gb ssd,AMD,4GB,14 pulgadas,No aplica,256GB,$  1.089.900 
Toshiba,"Portátil toshiba 14"" intel celeron  4gb 128gb ",Intel Celeron,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.349.000 
Asus,"Portatil asus x543ma 15,6 fhd celeron",Intel Celeron,4GB,15.6 pulgadas,No aplica,128GB,$  1.059.888 
HP,"Portátil hp 240 g7 14"" intel core i3 8gb 1tb linux",Intel Core i3,8GB,14 pulgadas,1TB,No aplica,$  1.679.900 
Lenovo,Portátil lenovo s145 intel core i3 1005g 4gb 1tb,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.599.900 
HP,"Portátil hp 14-dk amd athlon silver 4gb 1tb 14""",AMD,4GB,14 pulgadas,1TB,No aplica,$  1.028.900 
MSI,Portátil msi  8gb 512gb gtx16504gb reacondicionado,Intel Core i7,8GB,15.6 pulgadas,No aplica,512GB,$  3.729.900 
HP,Portatil hp 245 g7 3250u ryzen 3 4gb 1tb,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.459.900 
Dell,Portatil Dell 3501 15.6 intel core i3-1005g1 4gb 1,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.719.888 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,Portátil hp 3020 14 pulgadas amd  8gb 1tb ,AMD,8GB,14 pulgadas,1TB,No aplica,$  1.599.900 
Dell,Portátil dell 15.6 pulgadas intel core i3 4gb 1tb,Intel Core i3,4GB,15.6 pulgadas,1TB,No tiene dato.,$  1.539.000 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,15 pulgadas,No aplica,256GB,$  3.299.900 
HP,"Portátil hp amd 3020 8gb 1tb + ssd 240gb 14"" linux",AMD,8GB,14 pulgadas,1TB,120GB,$  1.689.000 
Lenovo,"Portatil Lenovo thinkpad e14 intel ci5 -1135, 8gb",Intel Core i5,8GB,14 pulgadas,No tiene dato.,No tiene dato.,$  4.699.000 
Lenovo,Portátil Lenovo thinkpad e495 ryzen 3,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  2.199.000 
HP,Portátil Hp 245 G8 Amd Ryzen 3 8gb 256gb Ssd Linux,AMD RYZEN R3,8GB,14 pulgadas,No aplica,256GB,$  1.639.900 
HP,Portatil Hp 245 G8 Amd Ryzen3 8gb 256gb Ssd 14pulg,AMD RYZEN R3,8GB,14 pulgadas,No aplica,256GB,$  1.620.600 
HP,Portatil hp 255 g7,AMD,4GB,15.6 pulgadas,500GB,No aplica,$  1.394.400 
Asus,"Portatil asus x415ja core i3 14"" 1tb 4gb endless",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.542.900 
Toshiba,Portátil dynabook celeron 4gb 128gb w10 fhd 13.3'',Intel Celeron,4GB,13.3 pulgadas,No aplica,128GB,$  1.079.900 
MSI,"Portátil msi 15 a10ras, intel ci7, 8gb, 512 ssd",Intel Core i7,8GB,15.6 pulgadas,No aplica,512GB,$  5.228.000 
Apple,MacBook Pro Chip M1 Pro 512GB SSD Plata MK1E3E/A 16.2 Pulgadas,Chip M1 Pro,16GB,16.2 pulgadas,No aplica,512GB,$  13.528.900
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.069.900 
Dell,"Portátil Dell Inspiron 3501 Core I3 4gb 1tb 15.6""",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.530.000 
HP,"Portatil hp 245 g7 ryzen3 4gb  dd1tb 14"" freedos",AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.431.900 
Asus,"Portátil Asus expertbook intel ci3-10110u, 8gb ram",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  2.199.000 
Lenovo,Portátil lenovo  intel core i3 4gb 1tb  + mouse,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.619.900 
Dell,Portátil dell gaming g5 15 5505 ryzen 5.,AMD RYZEN R5,8GB,15.6 pulgadas,No tiene dato.,No tiene dato.,$  4.999.900 
HP,Portatil hp 14-ck2101la,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.286.000 
HP,Portátil HP 15-gw0017la amd ryzen 3 4gb 256gb ssd,AMD RYZEN R3,4GB,15.6 pulgadas,No aplica,256GB,$  1.639.900 
HP,Portatil hp  240 g7 celeron n4020 4gb 1tb linux,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.132.200 
Lenovo,Portátil Lenovo 82gks00f00 14 Pulgadas Intel Core,Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  10.000.000
Lenovo,Portatil lenovo 3 14are05 amd ryzen3 4gb 256gbssd,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.653.900 
Apple,MacBook Pro Chip M1 Pro 1TB SSD Plata MKGT3E/A 14.2 Pulgadas,Chip M1 Pro,16GB,14.2 pulgadas,No aplica,1TB,$  13.528.900
HP,Portátil hp 15-dy intel core i3 4gb 256gb ssd w10,Intel Core i3,4GB,15 pulgadas,No aplica,256GB,$  1.639.900 
JANUS,"Computador janus core i7-9700 linux ram 8gb 22""",Intel Core i7,8GB,22 pulgadas,No aplica,256GB,$  2.997.000 
Lenovo,Portatil lenovo 3 15iil05 core i3 4gb 1tb win10.,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.776.000 
Apple,"MacBook Pro 13 Pulgadas Chip M1 CPU 8 núcleos GPU 8 núcleos, 256 GB SSD",Chip M1,8GB,13 pulgadas,No aplica,256GB,$  6.789.900 
Lenovo,Portatil lenovo s145 amd a9 ram8gb 1tb radeon 530,AMD A9,8GB,14 pulgadas,1TB,No aplica,$  1.709.400 
Asus,Portatil Asus M415da Amd Ryzen3 256gb Ssd Endless,AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  1.709.400 
HP,Portátil hp 245 g7 amd 3020e 8gb 1tb linux,AMD,8GB,14 pulgadas,1TB,No aplica,$  1.399.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,"Portátil hp 245 ryzen 3, 1tb dd,  ram 8gb, win 10h",AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.640.000 
Lenovo,Lenovo portátil s145 core i3 4gb 1tb free dos,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.909.900 
GENERICO,Portátil gateway amd ryzen 5 256gb ssd 8gb windows,AMD RYZEN R5,8GB,15 pulgadas,No aplica,256GB,$  2.999.900 
Dell,Portátil Dell Inspiron 15 3501 4gbram/Ddh1tb Intel,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  2.732.900 
Lenovo,Portátil lenovo s145 intel core i3 1005g 4gb 1tb,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.560.000 
